Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 LinkedTo,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card
Prime Guilt™ Tote Bag,prime-guilt-tote-bag,<p>Hand-sewn by someone who definitely read the fulfillment center reviews. Holds up to 40 lbs of impulse purchases. Reusable — morally ambiguous.</p>,Bamazon Labs,,Apparel,"apparel,tote,parody,amazon",true,active,BMZ-TOTE-29,,Title,Default Title,,22.99,49.99,3.50,true,shopify,45,45,deny,180,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Tote,1,Prime Guilt tote bag,,false
Same-Day Delivery (Next Week),same-day-delivery-next-week,<p>Promised by 8pm. Arrived Thursday. Box is wet. We are looking into it. Thank you for your patience and continued Prime membership.</p>,Bamazon Labs,,Tickets & Vouchers,"gag,delivery,parody,amazon",true,active,BMZ-DEL-30,,Title,Default Title,,4.99,19.99,0.10,true,shopify,200,200,deny,5,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Delivery,1,Same day delivery voucher,,false
Five-Star Review (Blank),five-star-review-blank,<p>Pre-filled with enthusiasm. Just add product name. Verified purchase not included. Great seller A++++++.</p>,Bamazon Labs,,Office Supplies,"gag,review,parody,office",true,active,BMZ-REV-31,,Title,Default Title,,3.99,9.99,0.15,true,shopify,500,500,deny,4,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=5%E2%98%85,1,Blank five star review card,,false
Fulfillment (Emotional),fulfillment-emotional,<p>Ships from a warehouse in Nevada. Arrives partially assembled. May contain packing peanuts where satisfaction was supposed to go.</p>,Bamazon Labs,,Gift,"gag,fulfillment,wellness,parody",true,active,BMZ-FULFIL-32,,Title,Default Title,,29.99,89.99,4.00,true,shopify,16,16,deny,300,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Fulfillment,1,Emotional fulfillment box,,false
Competitive Pricing (Trophy),competitive-pricing-trophy,"<p>Awarded to the lowest bidder. Engraved with ""Race to the Bottom, 1st Place."" Suitable for framing or quarterly business reviews.</p>",Bamazon Labs,,Collectibles,"gag,trophy,parody,business",true,active,BMZ-TROPH-33,,Title,Default Title,,54.99,149.99,8.00,true,shopify,12,12,deny,620,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Trophy,1,Competitive pricing trophy,,false
Subscription Cancellation Confirmation,subscription-cancellation-confirmation,<p>A physical letter confirming your cancellation. Followed by 11 more letters asking if you're sure. We're not angry. Just disappointed.</p>,Bamazon Labs,,Subscription,"gag,subscription,cancel,parody",true,active,BMZ-CANCEL-34,,Title,Default Title,,6.99,19.99,0.20,true,shopify,300,300,deny,6,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Cancel,1,Cancellation confirmation letter,,false
Organic Air (Locally Sourced),organic-air-locally-sourced,<p>Hand-harvested within 200 miles of your zip code. No artificial oxygen. Certified by an organization we made up. Pairs well with the Artisanal Void.</p>,Bamazon Labs,,Food & Beverage,"gag,air,organic,parody",true,active,BMZ-AIR-35,,Title,Default Title,,16.99,44.99,0.05,true,shopify,72,72,deny,10,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Air,1,Jar of organic air,,false
Frequently Bought Together (Just the Label),frequently-bought-together-label,<p>Attach to anything. Creates the illusion of a curated bundle. Social proof not included but implied. Works on people at parties too.</p>,Bamazon Labs,,Office Supplies,"gag,label,parody,amazon",true,active,BMZ-FBT-36,,Title,Default Title,,5.99,14.99,0.10,true,shopify,250,250,deny,3,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=FBT,1,Frequently bought together label,,false
Customers Also Viewed (Framed Print),customers-also-viewed-framed-print,<p>A museum-quality print of six unrelated products the algorithm thinks you want. One is a hat. You did not search for a hat. The hat knows.</p>,Bamazon Labs,,Home & Living,"gag,algorithm,art,parody",true,active,BMZ-ALSO-37,,Title,Default Title,,44.99,99.99,7.00,true,shopify,18,18,deny,550,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=AlsoViewed,1,Customers also viewed framed print,,false
Limited Time Deal (No Expiry),limited-time-deal-no-expiry,<p>Was $199.99. Now $199.97. Lightning deal. Thunder deal. Mild drizzle deal. Offer valid until further notice or the heat death of the universe.</p>,Bamazon Labs,,Tickets & Vouchers,"gag,deal,discount,parody",true,active,BMZ-DEAL-38,,Title,Default Title,,199.97,199.99,0.02,true,shopify,999,999,deny,2,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Deal,1,Limited time deal voucher,,false
Add to Wishlist (Physical Wishlist),add-to-wishlist-physical,<p>A laminated card you hand to people. They nod. Nothing happens. Updated annually. Compatible with all gift-giving occasions and selective hearing.</p>,Bamazon Labs,,Office Supplies,"gag,wishlist,parody,gift",true,active,BMZ-WISH-39,,Title,Default Title,,8.99,24.99,0.50,true,shopify,100,100,deny,20,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Wishlist,1,Physical wishlist card,,false
Packing Peanuts (Premium Reserve),packing-peanuts-premium-reserve,"<p>Aged in a fulfillment center since Q3. Notes of styrofoam, static, and someone else's order. Sold by the cubic foot. Not edible. We checked.</p>",Bamazon Labs,,Home & Living,"gag,packing,parody,shipping",true,active,BMZ-PNUT-40,,Title,Default Title,,12.99,34.99,1.00,true,shopify,38,38,deny,400,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Peanuts,1,Premium packing peanuts,,false
Generic White Label T-Shirt,generic-white-label-tshirt,<p>Manufactured somewhere. Materials: fabric. Fit: regular. Color: your best guess. Sold by 47 different storefronts at slightly different prices. This one is the real one.</p>,Bamazon Labs,,Apparel,"gag,tshirt,white-label,parody",true,active,BMZ-TEE-41,,Title,Default Title,,19.99,19.99,2.00,true,shopify,60,60,deny,220,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Tshirt,1,Generic white label t-shirt,,false
Warehouse Ambient Noise (12hr USB),warehouse-ambient-noise-usb,<p>Scan guns. Conveyor belts. A forklift reversing. The sound of commerce. Sleep to it. Focus to it. Reckon with it.</p>,Bamazon Labs,,Electronics,"gag,audio,ambient,parody",true,active,BMZ-AMB-42,,Title,Default Title,,27.99,69.99,3.00,true,shopify,24,24,deny,18,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Noise,1,Warehouse ambient noise USB,,false
Two-Day Shipping Hat,two-day-shipping-hat,"<p>Arrives in two days. The hat itself says ""Two-Day Shipping."" That's the whole bit. Adjustable. One size fits most expectations.</p>",Bamazon Labs,,Apparel,"gag,hat,apparel,parody",true,active,BMZ-HAT-43,,Title,Default Title,,24.99,54.99,4.00,true,shopify,33,33,deny,150,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Hat,1,Two day shipping hat,,false
Sold by Bamazon (Fulfilled by Someone Else),sold-by-bamazon-fulfilled-by-someone-else,"<p>We listed it. Somebody else touched it. A third party shipped it. You bought it. Together, we are commerce. Returns accepted by nobody in particular.</p>",Bamazon Labs,,Collectibles,"gag,meta,parody,amazon",true,active,BMZ-META2-44,,Title,Default Title,,9.99,29.99,0.00,true,shopify,77,77,deny,50,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=FBA,1,Sold by bamazon box,,false
Supplement for Hustle (Placebo),supplement-for-hustle-placebo,<p>30 capsules of inert ambition. Take 2 daily with a podcast and a cold plunge you'll try once. Not FDA reviewed. Neither is the hustle.</p>,Bamazon Labs,,Wellness,"gag,supplement,hustle,parody",true,active,BMZ-SUPP-45,,Title,Default Title,,34.99,89.99,1.50,true,shopify,42,42,deny,180,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Hustle,1,Hustle supplement bottle,,false
Box Within a Box (Unboxing Experience),box-within-a-box-unboxing-experience,"<p>7 nested boxes. The innermost contains a note that says ""nice work."" Filmed by nobody. Content not suitable for monetization. Remarkably satisfying anyway.</p>",Bamazon Labs,,Toys & Games,"gag,unboxing,box,parody",true,active,BMZ-BOX-46,,Title,Default Title,,18.99,49.99,3.00,true,shopify,29,29,deny,700,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=BoxBox,1,Nested unboxing boxes,,false
Return Label (No Reason Selected),return-label-no-reason-selected,<p>Pre-filled. Reason: Other. We're not going to ask. We never were. Just send it back. We'll sort it out. We won't sort it out.</p>,Bamazon Labs,,Tickets & Vouchers,"gag,return,label,parody",true,active,BMZ-RET-47,,Title,Default Title,,2.99,9.99,0.05,true,shopify,400,400,deny,2,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Return,1,Return label no reason,,false
Biodegradable Packaging (Still Here),biodegradable-packaging-still-here,<p>Rated to decompose in 90 days. Currently on day 847. Doing fine. Integrated fully into the ecosystem of your garage. Legally compostable.</p>,Bamazon Labs,,Home & Living,"gag,packaging,eco,parody",true,active,BMZ-BIO-48,,Title,Default Title,,11.99,29.99,0.75,true,shopify,55,55,deny,60,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Bio,1,Biodegradable packaging,,false
Q&A Section (Answered by Someone Who Doesn't Own It),qa-section-answered-wrong,"<p>Laminated card printed with 6 product questions and confidently wrong answers from Bamazon customers. Includes one answer that is just ""yes.""</p>",Bamazon Labs,,Books & Media,"gag,qa,parody,amazon",true,active,BMZ-QA-49,,Title,Default Title,,7.99,22.99,0.30,true,shopify,88,88,deny,12,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Q%26A,1,QandA card answered wrong,,false
Bamazon Gift Card (Amount: Thinking About It),bamazon-gift-card-thinking-about-it,<p>Value TBD. Recipient must wait while giver figures out what feels right. Valid at participating moments of generosity. No expiry except emotionally. Parody physical card — not a Shopify gift card product.</p>,Bamazon Labs,,Gift,"gag,gift-card,parody,amazon",true,active,BMZ-GC-50,,Title,Default Title,,1.00,25.00,0.00,true,shopify,999,999,deny,5,g,true,manual,https://placehold.co/600x600/232f3e/febd69/png?text=GiftCard,1,Bamazon gift card parody,,false
