Title,URL handle,Description,Vendor,Product category,Type,Tags,Published on online store,Status,SKU,Barcode,Option1 name,Option1 value,Option1 LinkedTo,Price,Compare-at price,Cost per item,Charge tax,Inventory tracker,Inventory quantity,Continue selling when out of stock,Weight value (grams),Weight unit for display,Requires shipping,Fulfillment service,Product image URL,Image position,Image alt text,Variant image URL,Gift card
4-Inch Charging Cable,4-inch-charging-cable,Charges your phone as long as you hold it 4 inches from the outlet. Perfect for people who enjoy commitment. USB-C to USB-C. Braided.,Bamazon Labs,Electronics,Electronics,"electronics,cable,usb,gag",TRUE,active,BMZ-ELEC-01,,Title,Default Title,,12.99,29.99,1.50,TRUE,shopify,60,deny,30,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Cable,1,4 inch charging cable,,FALSE
TV Remote (400 Buttons),tv-remote-400-buttons,Controls everything. You will use 3 buttons. The other 397 are for features your TV does not have and never will. Batteries included — wrong size.,Bamazon Labs,Electronics,Electronics,"electronics,remote,tv,gag",TRUE,active,BMZ-ELEC-02,,Title,Default Title,,34.99,79.99,5.00,TRUE,shopify,40,deny,220,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Remote,1,400 button TV remote,,FALSE
Headphones (No Audio),headphones-no-audio,Premium over-ear design. Noise cancelling so advanced it also cancels music. Look like you're listening. You are not listening.,Bamazon Labs,Electronics,Electronics,"electronics,headphones,audio,gag",TRUE,active,BMZ-ELEC-03,,Title,Default Title,,49.99,199.99,8.00,TRUE,shopify,25,deny,280,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Headphones,1,Headphones no audio,,FALSE
Smart Plug (Dumb Device),smart-plug-dumb-device,Requires 14 steps to set up. App needs an account. Account needs a verification code. Code expires. Turns lamp on and off. Your lamp was already doing that.,Bamazon Labs,Electronics,Electronics,"electronics,smart home,plug,gag",TRUE,active,BMZ-ELEC-04,,Title,Default Title,,24.99,59.99,3.00,TRUE,shopify,50,deny,90,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=SmartPlug,1,Smart plug dumb device,,FALSE
Laptop Stand (No Laptop Included),laptop-stand-no-laptop,"Ergonomic. Aluminum. Adjustable to 3 heights: bad, slightly less bad, and one you'll never use. Laptop sold separately by a company that doesn't make stands.",Bamazon Labs,Electronics,Electronics,"electronics,laptop,stand,gag",TRUE,active,BMZ-ELEC-05,,Title,Default Title,,39.99,89.99,6.00,TRUE,shopify,35,deny,450,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Stand,1,Laptop stand no laptop,,FALSE
Colander (No Holes),colander-no-holes,Stainless steel. Dishwasher safe. Holds water indefinitely. Great for displaying fruit or reconsidering your pasta strategy.,Bamazon Labs,Kitchen,Kitchen,"kitchen,colander,cookware,gag",TRUE,active,BMZ-KITCH-01,,Title,Default Title,,22.99,54.99,4.00,TRUE,shopify,30,deny,400,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Colander,1,Colander with no holes,,FALSE
Single-Use Fork,single-use-fork,"Premium stainless steel. Meant to be used once and reflected upon. Dishwasher safe but spiritually, this fork is done. Sold individually.",Bamazon Labs,Kitchen,Kitchen,"kitchen,fork,cutlery,gag",TRUE,active,BMZ-KITCH-02,,Title,Default Title,,8.99,19.99,0.50,TRUE,shopify,200,deny,45,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Fork,1,Single use fork,,FALSE
Knife (Too Small),knife-too-small,"3mm blade. Serrated. Full tang. Cannot cut bread, tomatoes, or tension. Ideal for very small cheeses and garnishes that don't need garnishing.",Bamazon Labs,Kitchen,Kitchen,"kitchen,knife,cutlery,gag",TRUE,active,BMZ-KITCH-03,,Title,Default Title,,16.99,44.99,2.00,TRUE,shopify,45,deny,60,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Knife,1,Tiny knife,,FALSE
Non-Stick Pan (Very Sticky),non-stick-pan-very-sticky,PFOA-free coating that adheres to everything except the non-stick promise. Oven safe to 200°F which is below most cooking temperatures. Hand wash only — it won't help.,Bamazon Labs,Kitchen,Kitchen,"kitchen,pan,cookware,gag",TRUE,active,BMZ-KITCH-04,,Title,Default Title,,29.99,79.99,5.00,TRUE,shopify,22,deny,850,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Pan,1,Non stick very sticky pan,,FALSE
Measuring Cup (No Measurements),measuring-cup-no-measurements,Holds liquid. How much liquid? That's between you and your recipe. Clear plastic. Good grip. Completely unmarked. Cook with confidence or don't.,Bamazon Labs,Kitchen,Kitchen,"kitchen,measuring,baking,gag",TRUE,active,BMZ-KITCH-05,,Title,Default Title,,11.99,24.99,1.00,TRUE,shopify,55,deny,120,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=MeasureCup,1,Measuring cup no measurements,,FALSE
Shirt (One Sleeve),shirt-one-sleeve,100% cotton. Machine washable. One sleeve — the right one. Asymmetric design that says you make choices. Available in S/M/L/XL. Left arm: free.,Bamazon Labs,Clothing,Clothing,"clothing,shirt,apparel,gag",TRUE,active,BMZ-CLTH-01,,Title,Default Title,,27.99,59.99,4.00,TRUE,shopify,40,deny,200,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Shirt,1,One sleeve shirt,,FALSE
Socks (Sold Individually),socks-sold-individually,One sock. Premium cotton blend. Left foot. If you need the right one that's a separate purchase and a separate relationship. Comes gift-boxed.,Bamazon Labs,Clothing,Clothing,"clothing,socks,apparel,gag",TRUE,active,BMZ-CLTH-02,,Title,Default Title,,9.99,19.99,0.75,TRUE,shopify,120,deny,30,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Sock,1,Single sock,,FALSE
Jeans (No Pockets),jeans-no-pockets,Slim fit denim. Five pocket styling — all decorative. Your belongings are your problem. Sits at the waist. Looks great. Holds nothing. Truly nothing.,Bamazon Labs,Clothing,Clothing,"clothing,jeans,denim,gag",TRUE,active,BMZ-CLTH-03,,Title,Default Title,,59.99,129.99,10.00,TRUE,shopify,28,deny,600,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Jeans,1,Jeans with no pockets,,FALSE
Hat (Visor in the Back),hat-visor-in-back,Structured 6-panel cap. Visor faces rear. Sun protection for your neck — statistically the most sunburned area. Adjustable strap. Statement piece.,Bamazon Labs,Clothing,Clothing,"clothing,hat,accessories,gag",TRUE,active,BMZ-CLTH-04,,Title,Default Title,,22.99,44.99,3.00,TRUE,shopify,50,deny,120,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Hat,1,Hat visor in back,,FALSE
Scarf (Summer Weight),scarf-summer-weight,Lightweight merino wool. Ideal for July. Pairs with sunscreen and a look on people's faces. Machine wash cold. 72 inches. You'll find a use for it.,Bamazon Labs,Clothing,Clothing,"clothing,scarf,accessories,gag",TRUE,active,BMZ-CLTH-05,,Title,Default Title,,34.99,74.99,5.00,TRUE,shopify,35,deny,180,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Scarf,1,Summer weight scarf,,FALSE
1 lb Dumbbell Set (Pair),1lb-dumbbell-set,"Two dumbbells. 1 lb each. Neoprene grip. Great for wrist curls, very light groceries, and the illusion of a home gym. Results: minimal. Commitment: implied.",Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,dumbbells,fitness,gag",TRUE,active,BMZ-SPRT-01,,Title,Default Title,,19.99,44.99,2.50,TRUE,shopify,60,deny,900,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Dumbbells,1,1lb dumbbell set,,FALSE
Participation Trophy (Blank),participation-trophy-blank,Gold resin. Marble base. Engraving plate left intentionally empty. For the event. You know the one. Arrives in a felt-lined box. You showed up.,Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,trophy,gag,award",TRUE,active,BMZ-SPRT-02,,Title,Default Title,,24.99,54.99,4.00,TRUE,shopify,44,deny,500,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Trophy,1,Blank participation trophy,,FALSE
Pedometer (Starts at 10000),pedometer-starts-at-10000,"You already hit your goal. Display reads 10,000 steps on startup. The day is yours. Clip to waistband and live freely. Battery lasts 6 months of doing nothing.",Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,pedometer,fitness,gag",TRUE,active,BMZ-SPRT-03,,Title,Default Title,,17.99,39.99,2.00,TRUE,shopify,38,deny,35,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Pedometer,1,Pedometer starts at 10000,,FALSE
Yoga Mat (No Grip),yoga-mat-no-grip,"6mm thick. Extra wide. PVC free. Slides on hardwood, carpet, and most spiritual journeys. Folds flat. Comes with a carry strap for the trip to the donation bin.",Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,yoga,mat,gag",TRUE,active,BMZ-SPRT-04,,Title,Default Title,,32.99,69.99,5.00,TRUE,shopify,30,deny,1100,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=YogaMat,1,Yoga mat no grip,,FALSE
Water Bottle (Leaks Slightly),water-bottle-leaks-slightly,"BPA-free. 32oz. Keeps drinks cold for 24 hours. Lid rated for upright use only. Consistent 2% leak guaranteed to keep you on your toes. Dishwasher safe lid, hand wash bottle — or reverse that, it won't matter.",Bamazon Labs,Sports & Outdoors,Sports & Outdoors,"sports,water bottle,hydration,gag",TRUE,active,BMZ-SPRT-05,,Title,Default Title,,28.99,64.99,4.00,TRUE,shopify,55,deny,400,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Bottle,1,Water bottle leaks slightly,,FALSE
Moisturizer (Just Water),moisturizer-just-water,Hypoallergenic. Fragrance-free. Dermatologist-tested. Active ingredient: H2O. Proprietary formula. pH balanced. Honestly just water in a very nice bottle.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,skincare,moisturizer,gag",TRUE,active,BMZ-BEAU-01,,Title,Default Title,,34.99,89.99,0.50,TRUE,shopify,48,deny,240,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Moisturizer,1,Moisturizer just water,,FALSE
72-Step Skincare Routine (One Bottle),72-step-skincare-one-bottle,Cleanse. Tone. Treat. Essence. Serum. Moisturize. SPF. Repeat x65. All in one pump bottle. Steps 47-72 are emotional. Results visible in 6-8 decades.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,skincare,routine,gag",TRUE,active,BMZ-BEAU-02,,Title,Default Title,,44.99,119.99,3.00,TRUE,shopify,32,deny,280,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Skincare,1,72 step skincare bottle,,FALSE
Dry Shampoo (Wet),dry-shampoo-wet,All the convenience of dry shampoo. All the wetness of regular shampoo. Spray on. Wait. Your hair is now wet. You needed a shower anyway.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,hair,shampoo,gag",TRUE,active,BMZ-BEAU-03,,Title,Default Title,,16.99,38.99,1.50,TRUE,shopify,65,deny,180,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=DryShampoo,1,Dry shampoo wet,,FALSE
Toothbrush (No Bristles),toothbrush-no-bristles,Ergonomic handle. Soft grip. ADA compliant handle design. Bristle zone left open for personal interpretation. Manual. Replace every 3 months or whenever.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,dental,toothbrush,gag",TRUE,active,BMZ-BEAU-04,,Title,Default Title,,9.99,22.99,0.75,TRUE,shopify,80,deny,20,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Toothbrush,1,Toothbrush no bristles,,FALSE
Perfume (Smells Like Nothing),perfume-smells-like-nothing,Eau de vide. Top notes: absence. Heart: restraint. Base: the memory of a scent. 50ml. Spray twice. Nothing happens. You are unbothered. You smell like a decision.,Bamazon Labs,Beauty & Personal Care,Beauty & Personal Care,"beauty,fragrance,perfume,gag",TRUE,active,BMZ-BEAU-05,,Title,Default Title,,59.99,149.99,4.00,TRUE,shopify,20,deny,180,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Perfume,1,Perfume smells like nothing,,FALSE
900-Page Book (One Sentence),900-page-book-one-sentence,Hardcover. Gilded edges. The sentence is on page 451. It is a good sentence. The rest is leading. Foreword by nobody. Index: empty. Rated 4.8 stars.,Bamazon Labs,Books & Media,Books & Media,"books,reading,gag,parody",TRUE,active,BMZ-BOOK-01,,Title,Default Title,,24.99,39.99,3.00,TRUE,shopify,40,deny,1200,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Book,1,900 page one sentence book,,FALSE
Self-Help Book (Just Says Try Harder),self-help-try-harder,352 pages. Chapter 1: Try harder. Chapter 2: No really. Chapter 3: Have you tried being different? Includes a 30-day journal. The journal is also blank.,Bamazon Labs,Books & Media,Books & Media,"books,self-help,gag,parody",TRUE,active,BMZ-BOOK-02,,Title,Default Title,,19.99,34.99,2.00,TRUE,shopify,55,deny,380,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=SelfHelp,1,Self help try harder book,,FALSE
Cookbook (No Recipes),cookbook-no-recipes,Beautiful food photography. 214 pages of plated dishes you will never make because the recipes are not here. Suggested wine pairings included. Great coffee table book.,Bamazon Labs,Books & Media,Books & Media,"books,cooking,gag,parody",TRUE,active,BMZ-BOOK-03,,Title,Default Title,,32.99,55.99,4.00,TRUE,shopify,30,deny,900,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Cookbook,1,Cookbook no recipes,,FALSE
Journal (Pre-Filled with Excuses),journal-prefilled-excuses,"200 pages. Dated. Each entry already written with a different reason you didn't work out, call back, or finish the thing. Leather cover. Ribbon bookmark. Very relatable.",Bamazon Labs,Books & Media,Books & Media,"books,journal,stationery,gag",TRUE,active,BMZ-BOOK-04,,Title,Default Title,,18.99,39.99,2.50,TRUE,shopify,45,deny,320,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Journal,1,Journal prefilled excuses,,FALSE
Board Game (No Instructions),board-game-no-instructions,6 players. 400 pieces. 12 card types. 3 dice of different sizes. Absolutely no instructions. Figure it out. The game rewards whoever argues most confidently.,Bamazon Labs,Toys & Games,Toys & Games,"toys,board game,games,gag",TRUE,active,BMZ-TOYS-01,,Title,Default Title,,34.99,74.99,6.00,TRUE,shopify,22,deny,1400,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=BoardGame,1,Board game no instructions,,FALSE
Puzzle (One Extra Piece Included),puzzle-one-extra-piece,1000 pieces. Completed image: a mountain. All pieces fit perfectly except one extra. It looks like it should go somewhere. It does not go somewhere. 27x20 inches.,Bamazon Labs,Toys & Games,Toys & Games,"toys,puzzle,games,gag",TRUE,active,BMZ-TOYS-02,,Title,Default Title,,27.99,54.99,4.00,TRUE,shopify,33,deny,600,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Puzzle,1,Puzzle one extra piece,,FALSE
Deck of Cards (No Face Cards),deck-of-cards-no-face-cards,"40 cards. Ace through 10, four suits. Beautifully printed. The royals have been removed. No reason given. Great for games that don't require faces. Most games require faces.",Bamazon Labs,Toys & Games,Toys & Games,"toys,cards,games,gag",TRUE,active,BMZ-TOYS-03,,Title,Default Title,,9.99,19.99,0.75,TRUE,shopify,70,deny,80,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Cards,1,Deck no face cards,,FALSE
Action Figure (No Articulation),action-figure-no-articulation,6-inch figure. Highly detailed sculpt. Zero points of articulation. Stands in one pose. That pose is: slightly uncomfortable. Collector quality. Display only.,Bamazon Labs,Toys & Games,Toys & Games,"toys,action figure,collectible,gag",TRUE,active,BMZ-TOYS-04,,Title,Default Title,,19.99,44.99,3.00,TRUE,shopify,28,deny,150,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Figure,1,Action figure no articulation,,FALSE
Throw Pillow (Uncomfortable),throw-pillow-uncomfortable,18x18 inches. Decorative cover: gorgeous. Insert: a firm opinion. Not for sleeping. Not for leaning. For throwing on the couch so the couch looks done.,Bamazon Labs,Home & Living,Home & Living,"home,pillow,decor,gag",TRUE,active,BMZ-HOME-01,,Title,Default Title,,24.99,54.99,3.50,TRUE,shopify,40,deny,500,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Pillow,1,Uncomfortable throw pillow,,FALSE
Candle (No Scent),candle-no-scent,Hand-poured soy wax. 40-hour burn time. Cotton wick. Smells like a candle that isn't lit. Mood: present. Ambiance: you tried. Pairs with the perfume that smells like nothing.,Bamazon Labs,Home & Living,Home & Living,"home,candle,decor,gag",TRUE,active,BMZ-HOME-02,,Title,Default Title,,18.99,42.99,2.00,TRUE,shopify,50,deny,280,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Candle,1,Candle no scent,,FALSE
Rug (Slightly Too Small),rug-slightly-too-small,4x6 feet. Just under what the room needs. Floats in the space. Furniture won't sit on it correctly. Designer approved. Photographed well. Ships rolled.,Bamazon Labs,Home & Living,Home & Living,"home,rug,decor,gag",TRUE,active,BMZ-HOME-03,,Title,Default Title,,89.99,199.99,15.00,TRUE,shopify,12,deny,3000,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Rug,1,Slightly too small rug,,FALSE
Clock (One Hand),clock-one-hand,Minimalist wall clock. 12-inch face. One hand: the hour hand. You'll figure out the minutes. Requires 1 AA battery. Silent sweep. Very modern. Somewhat useless.,Bamazon Labs,Home & Living,Home & Living,"home,clock,decor,gag",TRUE,active,BMZ-HOME-04,,Title,Default Title,,29.99,64.99,4.00,TRUE,shopify,35,deny,350,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Clock,1,Clock one hand,,FALSE
Organic Cereal (Just Oats),organic-cereal-just-oats,"Certified organic. Non-GMO. Gluten-free facility. Single ingredient: oats. No added sugar, flavor, or reason to choose this over the bag of oats. Premium box though.",Bamazon Labs,Food & Beverage,Food & Beverage,"food,cereal,organic,gag",TRUE,active,BMZ-FOOD-01,,Title,Default Title,,11.99,26.99,1.50,TRUE,shopify,65,deny,400,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Cereal,1,Organic cereal just oats,,FALSE
Sparkling Water (No Bubbles),sparkling-water-no-bubbles,Premium still water in a can that used to have bubbles. Something happened during canning. The label still says sparkling. The water does not agree. Refreshing anyway.,Bamazon Labs,Food & Beverage,Food & Beverage,"food,water,beverage,gag",TRUE,active,BMZ-FOOD-02,,Title,Default Title,,3.99,7.99,0.25,TRUE,shopify,144,deny,375,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Water,1,Sparkling water no bubbles,,FALSE
Artisanal Toast (Unsliced),artisanal-toast-unsliced,Single-origin sourdough. Stone-milled flour. Cold-fermented 48 hours. Baked to order. Shipped as one full loaf that has been toasted. Arrive with a knife. We did not include one.,Bamazon Labs,Food & Beverage,Food & Beverage,"food,bread,artisan,gag",TRUE,active,BMZ-FOOD-03,,Title,Default Title,,16.99,34.99,3.00,TRUE,shopify,18,deny,500,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Toast,1,Artisanal unsliced toast,,FALSE
Coffee (Decaf Espresso Roast),coffee-decaf-espresso-roast,Dark roast. Single origin. Notes of chocolate and futility. All the intensity of an espresso roast with none of the effect. For people who love the ritual and hate sleep anyway.,Bamazon Labs,Food & Beverage,Food & Beverage,"food,coffee,beverage,gag",TRUE,active,BMZ-FOOD-04,,Title,Default Title,,18.99,42.99,3.50,TRUE,shopify,50,deny,340,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Coffee,1,Decaf espresso roast,,FALSE
Stapler (No Staples Included),stapler-no-staples,Full-size desktop stapler. 20-sheet capacity — theoretically. Chrome finish. Jam-resistant mechanism. Staples sold separately by a company with no relationship to this stapler.,Bamazon Labs,Office Supplies,Office Supplies,"office,stapler,stationery,gag",TRUE,active,BMZ-OFFC-01,,Title,Default Title,,14.99,32.99,2.00,TRUE,shopify,55,deny,280,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Stapler,1,Stapler no staples,,FALSE
Highlighter (Black),highlighter-black,"Chisel tip. Fast-drying. Permanent. Highlights text in black, rendering it unreadable and permanent. Great for redacting documents you still need to read.",Bamazon Labs,Office Supplies,Office Supplies,"office,highlighter,stationery,gag",TRUE,active,BMZ-OFFC-02,,Title,Default Title,,4.99,9.99,0.25,TRUE,shopify,120,deny,15,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Highlighter,1,Black highlighter,,FALSE
Sticky Notes (Not Sticky),sticky-notes-not-sticky,3x3 inches. 100 sheets. Pastel assorted. Post them anywhere. They will not stay. Follow up with tape. Tape sold separately. Great color selection for notes nobody will see.,Bamazon Labs,Office Supplies,Office Supplies,"office,sticky notes,stationery,gag",TRUE,active,BMZ-OFFC-03,,Title,Default Title,,6.99,14.99,0.50,TRUE,shopify,90,deny,60,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=StickyNotes,1,Sticky notes not sticky,,FALSE
Desk Chair (No Wheels),desk-chair-no-wheels,"Ergonomic lumbar support. Breathable mesh back. Adjustable height. Stationary base — not by design, they fell off in shipping. Stand up to reposition. Core strengthening bonus.",Bamazon Labs,Office Supplies,Office Supplies,"office,chair,furniture,gag",TRUE,active,BMZ-OFFC-04,,Title,Default Title,,129.99,299.99,25.00,TRUE,shopify,8,deny,12000,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Chair,1,Desk chair no wheels,,FALSE
Dog Bed (Cat Sized),dog-bed-cat-sized,Plush orthopedic foam. Removable washable cover. Fits cats perfectly. Listed under dogs. Your dog will look at it. Your cat will immediately claim it. Order accordingly.,Bamazon Labs,Pet Supplies,Pet Supplies,"pets,dog,bed,gag",TRUE,active,BMZ-PETS-01,,Title,Default Title,,34.99,74.99,6.00,TRUE,shopify,28,deny,800,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=PetBed,1,Dog bed cat sized,,FALSE
Pet Cologne (For Pets Who Don't Want It),pet-cologne-for-pets,Lavender and oat. Spray on. Pet leaves room. Spray dissipates. Pet returns. 4oz bottle. Dermatologist tested — on a dermatologist's dog who also left the room.,Bamazon Labs,Pet Supplies,Pet Supplies,"pets,grooming,cologne,gag",TRUE,active,BMZ-PETS-02,,Title,Default Title,,16.99,36.99,2.00,TRUE,shopify,44,deny,150,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=PetCologne,1,Pet cologne unwanted,,FALSE
Aquarium (Fish Sold Separately),aquarium-fish-sold-separately,"10-gallon glass tank. Filter included. Gravel included. Decorative castle included. Fish: not included, not our department, genuinely not sure where you get those.",Bamazon Labs,Pet Supplies,Pet Supplies,"pets,fish,aquarium,gag",TRUE,active,BMZ-PETS-03,,Title,Default Title,,59.99,129.99,12.00,TRUE,shopify,14,deny,4500,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Aquarium,1,Aquarium fish not included,,FALSE
Car Air Freshener (Smells Like New Car Smell Air Freshener),car-air-freshener-meta,Hangs from mirror. Scent: New Car Smell. That scent is itself an air freshener scent. You are now two levels deep. Your car smells like a metaphor. Lasts 30 days.,Bamazon Labs,Automotive,Automotive,"automotive,car,air freshener,gag",TRUE,active,BMZ-AUTO-01,,Title,Default Title,,5.99,12.99,0.50,TRUE,shopify,100,deny,20,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Freshener,1,Meta car air freshener,,FALSE
Parking Permit (Unspecified Lot),parking-permit-unspecified,Official-looking hang tag. Lot number: TBD. Valid: possibly. Laminated. Punched hole. Blue and white. Has worked in 0 documented situations. Shipped same day.,Bamazon Labs,Automotive,Automotive,"automotive,parking,permit,gag",TRUE,active,BMZ-AUTO-02,,Title,Default Title,,8.99,24.99,0.10,TRUE,shopify,200,deny,10,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Permit,1,Unspecified parking permit,,FALSE
Windshield Sunshade (Slightly Too Narrow),sunshade-slightly-too-narrow,Reflective silver. Folds accordion-style. Covers 94% of your windshield. The remaining 6% lets in exactly enough sun to heat the steering wheel to an unreasonable temperature.,Bamazon Labs,Automotive,Automotive,"automotive,sunshade,car,gag",TRUE,active,BMZ-AUTO-03,,Title,Default Title,,19.99,44.99,3.00,TRUE,shopify,38,deny,350,g,TRUE,manual,https://placehold.co/600x600/232f3e/febd69/png?text=Sunshade,1,Sunshade slightly too narrow,,FALSE